Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_35,VGND,li1,24.3800,43.5200,0.000043
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000047
FILLER_12_23,VGND,li1,17.0200,43.5200,0.000047
FILLER_12_7,VGND,li1,9.2000,43.5200,0.000049
FILLER_11_113,VGND,li1,57.7300,43.5200,0.000108
FILLER_11_81,VGND,li1,43.2400,43.5200,0.000095
FILLER_11_57,VGND,li1,32.6600,43.5200,0.000069
FILLER_11_52,VGND,li1,30.3600,43.5200,0.000059
FILLER_11_20,VGND,li1,15.6400,43.5200,0.000047
FILLER_11_3,VGND,li1,7.1300,43.5200,0.000049
FILLER_10_131,VGND,li1,66.2400,38.0800,0.000034
FILLER_10_114,VGND,li1,58.1900,38.0800,0.000032
FILLER_10_98,VGND,li1,50.8300,38.0800,0.000029
FILLER_10_94,VGND,li1,49.6800,38.0800,0.000029
FILLER_10_85,VGND,li1,44.8500,38.0800,0.000025
FILLER_10_82,VGND,li1,43.7000,38.0800,0.000025
FILLER_10_75,VGND,li1,40.2500,38.0800,0.000022
FILLER_10_71,VGND,li1,39.1000,38.0800,0.000022
FILLER_10_59,VGND,li1,35.4200,38.0800,0.000020
FILLER_10_45,VGND,li1,26.6800,38.0800,0.000014
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000017
FILLER_10_23,VGND,li1,17.0200,38.0800,0.000017
FILLER_10_11,VGND,li1,13.3400,38.0800,0.000017
FILLER_9_132,VGND,li1,66.4700,38.0800,0.000034
FILLER_9_103,VGND,li1,53.3600,38.0800,0.000030
FILLER_9_71,VGND,li1,38.6400,38.0800,0.000022
FILLER_9_63,VGND,li1,36.3400,38.0800,0.000020
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000017
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000016
FILLER_9_36,VGND,li1,22.5400,38.0800,0.000014
FILLER_9_18,VGND,li1,14.0300,38.0800,0.000017
FILLER_9_6,VGND,li1,11.0400,38.0800,0.000017
FILLER_8_99,VGND,li1,51.2900,32.6400,0.000063
FILLER_8_93,VGND,li1,49.6800,32.6400,0.000063
FILLER_8_82,VGND,li1,43.7000,32.6400,0.000058
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000043
FILLER_8_17,VGND,li1,15.1800,32.6400,0.000044
FILLER_8_3,VGND,li1,8.2800,32.6400,0.000044
FILLER_7_131,VGND,li1,66.2400,32.6400,0.000070
FILLER_7_113,VGND,li1,57.9600,32.6400,0.000068
FILLER_7_103,VGND,li1,53.3600,32.6400,0.000064
FILLER_7_96,VGND,li1,50.1400,32.6400,0.000063
FILLER_7_88,VGND,li1,47.8400,32.6400,0.000061
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000044
FILLER_7_49,VGND,li1,29.4400,32.6400,0.000044
FILLER_7_35,VGND,li1,22.0800,32.6400,0.000042
FILLER_6_124,VGND,li1,62.7900,27.2000,0.000101
FILLER_6_85,VGND,li1,45.5400,27.2000,0.000083
FILLER_6_71,VGND,li1,38.6400,27.2000,0.000066
FILLER_6_54,VGND,li1,30.5900,27.2000,0.000043
FILLER_6_48,VGND,li1,28.9800,27.2000,0.000038
FILLER_6_37,VGND,li1,23.2300,27.2000,0.000032
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000036
FILLER_5_96,VGND,li1,50.1400,27.2000,0.000091
FILLER_5_57,VGND,li1,32.2000,27.2000,0.000049
FILLER_5_50,VGND,li1,29.9000,27.2000,0.000043
FILLER_5_38,VGND,li1,23.6900,27.2000,0.000032
FILLER_5_3,VGND,li1,8.7400,27.2000,0.000038
FILLER_4_111,VGND,li1,58.4200,21.7600,0.000028
FILLER_4_104,VGND,li1,53.5900,21.7600,0.000027
FILLER_4_85,VGND,li1,45.0800,21.7600,0.000025
FILLER_4_82,VGND,li1,43.7000,21.7600,0.000025
FILLER_4_62,VGND,li1,34.2700,21.7600,0.000020
FILLER_4_50,VGND,li1,31.2800,21.7600,0.000018
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000013
FILLER_4_16,VGND,li1,13.1100,21.7600,0.000014
FILLER_4_6,VGND,li1,8.7400,21.7600,0.000014
FILLER_3_128,VGND,li1,64.6300,21.7600,0.000029
FILLER_3_121,VGND,li1,61.4100,21.7600,0.000029
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000028
FILLER_3_105,VGND,li1,55.2000,21.7600,0.000027
FILLER_3_87,VGND,li1,46.2300,21.7600,0.000025
FILLER_3_62,VGND,li1,34.2700,21.7600,0.000020
FILLER_3_32,VGND,li1,20.9300,21.7600,0.000012
FILLER_3_7,VGND,li1,8.9700,21.7600,0.000014
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000014
FILLER_2_81,VGND,li1,43.4700,16.3200,0.000058
